taxonomy.name	D2000120	D2000121	D2000122	D2000123	D2000124	D2000125	D2000126	D2000127	D2000128	D2000129	D2000130	D2000131	D2000132	D2000134	D2000135	D2000137	D2000138	D2000139	D2000140	D2000141	D2000142	D2000143	D2000144	D2000145
                Peterkaempfera	142	160	143	111	178	592	150	231	176	378	117	649	193	162	871	141	219	367	74	259	266	181	282	134
                Petrocella	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Phascolarctobacterium	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Phototrophicus	12	0	14	0	0	11	0	61	0	35	18	0	27	0	16	0	0	59	13	0	0	38	13	0
                Phycicoccus	649	384	496	238	605	1819	465	1694	370	1052	1066	807	332	554	3532	418	685	1582	430	756	1056	1795	957	458
                Phycisphaera	27	20	16	0	34	67	13	175	0	57	48	37	36	10	99	0	0	171	53	27	32	85	50	19
                Phytohabitans	732	291	790	480	660	2777	526	2159	691	4601	730	1349	1145	779	5389	454	592	4273	390	1215	1001	1189	1219	240
                Pimelobacter	800	528	560	366	682	3583	452	2011	549	1825	818	1160	710	897	6622	529	1569	1938	670	1400	1355	2149	1809	819
                Pirellula	20	0	0	0	0	29	0	121	10	61	19	25	43	0	15	0	0	128	28	0	0	63	29	0
                Pirellulimonas	46	14	21	19	23	73	26	228	23	87	55	35	66	12	91	0	15	225	72	23	30	82	54	16
                Planctomyces	96	100	61	39	83	225	74	723	96	350	159	191	214	68	357	62	79	663	190	121	135	242	434	36
                Planctopirus	0	0	0	0	0	0	0	49	0	0	0	0	0	0	12	0	0	54	0	0	0	30	0	0
                Planococcus	19	0	0	0	0	15	0	103	0	0	18	21	0	0	17	0	0	100	0	0	0	0	113	0
                Plantactinospora	614	157	718	430	609	2372	437	1715	624	4370	799	1217	929	681	4707	400	572	4117	395	1086	819	1082	1060	263
                Plantibacter	213	1033	2010	1876	2646	5658	341	494	304	593	472	2291	403	1803	2603	624	1562	798	153	2284	502	4265	1840	114
                Polyangium	101	61	98	73	78	292	80	2098	56	442	465	137	434	67	206	65	100	2276	483	101	78	1368	448	37
                Polycladomyces	0	0	0	0	0	16	0	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
                Polymorphospora	330	120	326	244	278	1133	216	998	338	2115	331	564	483	342	2407	170	230	1981	172	543	502	569	504	143
                Polystyrenella	0	0	0	0	0	0	0	14	0	21	0	0	12	0	0	0	0	30	0	0	0	14	0	0
                Pontibacillus	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Pontimonas	11	0	0	0	0	14	0	26	0	25	0	20	0	0	60	0	0	32	12	0	16	23	18	0
                Poriferisphaera	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
                Porphyrobacter	567	90	622	120	181	1135	220	3049	363	908	715	673	231	346	590	155	294	1015	719	302	546	1009	543	295
                Prauserella	117	42	224	120	137	786	90	377	64	1305	90	209	154	225	1287	90	125	369	70	299	141	171	205	58
                Prescottella	134	111	135	104	108	561	136	501	131	578	132	322	137	160	1148	97	183	498	108	219	222	239	366	104
                Priestia	384	934	291	698	968	433	4886	227	173	191	385	423	174	470	883	299	500	381	159	564	453	187	1193	39
                Propionibacterium	125	70	100	78	96	382	72	292	105	291	124	332	128	142	860	81	146	375	123	214	218	213	287	102
                Propioniciclava	168	90	126	118	150	681	118	456	143	529	176	338	168	189	1630	99	247	599	109	285	308	315	394	90
                Protaetiibacter	298	217	289	222	566	1040	341	1428	445	1121	725	1862	728	345	2802	236	346	2097	345	378	1110	1026	1595	192
                Pseudactinotalea	63	38	41	75	64	219	33	193	49	243	45	139	75	73	725	46	87	227	51	88	116	126	99	32
                Pseudarthrobacter	2006	2868	1160	1427	1915	2931	2280	3426	444	5781	3974	2500	1295	1588	7917	1316	1274	5897	1558	1275	16709	2806	6304	327
                Pseudoclavibacter	0	0	21	0	0	39	0	37	0	21	0	22	0	0	90	0	0	60	14	13	12	14	32	0
                Pseudoduganella	8069	16625	26092	15077	23821	101294	33870	23714	3193	21603	11197	23529	16427	20537	27338	13703	9179	38717	11854	38632	11521	63380	14270	2426
                Pseudonocardia	4376	1571	2944	2936	2058	12060	1542	7740	1539	11664	1921	4296	3359	4788	68755	2017	3679	10584	1589	4725	4423	4398	7023	1415
                Pseudorhizobium	167	78	94	129	252	449	134	779	100	783	289	183	156	136	522	233	108	857	222	144	197	601	261	99
                Psychrobacillus	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
                Psychromicrobium	16	0	0	10	20	64	18	55	0	61	16	22	13	13	139	16	11	54	14	22	40	22	36	0
                Pusillibacter	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Pyxidicoccus	59	80	70	62	47	200	68	523	79	169	153	136	122	129	284	25	57	906	179	126	53	809	421	157
                Raineyella	53	38	55	28	73	208	52	156	47	164	53	147	76	63	408	34	77	188	43	62	97	83	123	37
                Raoultella	89	282	412	193	131	237	76	319	729	115	317	655	50	307	179	71	35	321	33	169	133	142	676	0
                Raoultibacter	0	0	0	0	0	10	0	38	0	25	21	11	12	0	17	0	0	21	0	0	18	0	0	0
                Rathayibacter	633	509	730	521	968	2611	610	2212	798	2617	947	2650	808	843	7052	369	826	2623	534	1216	1624	1794	2948	377
                Renibacterium	0	0	15	0	0	41	0	39	0	25	14	26	0	0	75	0	0	43	15	16	15	15	11	0
                Rhizobium	93199	75214	87633	74004	166793	523432	93898	134293	19624	232636	57991	38221	69765	162453	291649	132637	87191	180303	32358	130923	35732	135581	87947	80411
                Rhodocaloribacter	31	27	11	0	22	53	21	136	28	61	38	30	36	14	61	11	12	163	42	32	19	72	69	0
                Rhodococcus	4912	4531	7558	7256	5050	21136	2774	9231	2397	13795	2350	20793	3373	6659	35559	3426	7661	10444	2245	10933	14049	5832	25890	1721
                Rhodopirellula	0	0	0	0	0	32	0	79	0	43	0	12	31	0	17	0	0	92	15	0	0	32	14	0
                Rhodothermus	17	14	27	0	17	52	18	177	0	78	45	28	54	25	59	13	28	148	43	49	25	86	47	0
                Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
                Roseimaritima	15	0	0	0	0	13	11	123	0	50	17	16	34	0	31	0	0	116	32	0	15	31	32	0
                Roseimicrobium	37	0	18	17	24	70	18	1153	12	892	196	37	56	12	411	0	16	541	249	34	19	305	226	0
                Rosistilla	0	16	0	0	0	68	0	156	0	78	22	52	37	0	87	0	0	173	28	20	0	54	55	0
                Rossellomorea	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	13	0	0	0	17	0	0
                Rothia	57	57	84	338	92	267	61	396	66	387	130	234	93	85	954	41	112	456	83	108	152	209	265	46
                Ruania	293	142	235	285	248	986	139	852	205	1332	251	614	271	304	4099	149	337	914	203	368	429	681	607	215
                Rubinisphaera	0	0	0	0	0	10	0	88	0	20	15	12	16	0	14	0	0	62	17	0	0	18	0	0
                Rubripirellula	0	0	0	0	14	22	0	50	0	27	15	0	24	0	22	0	0	58	32	0	12	16	16	0
                Rubrobacter	175	184	65	79	103	383	83	672	84	386	317	268	213	110	1524	89	87	1294	229	208	160	376	435	54
                Ruficoccus	10	0	0	0	0	17	0	119	0	43	28	19	18	0	13	0	14	81	37	10	0	21	19	0
                Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
                Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
                Ruthenibacterium	0	0	0	0	0	19	12	32	0	16	0	0	0	0	0	0	0	32	17	0	0	0	13	0
                Saccharibacillus	0	0	0	15	10	52	0	97	0	55	21	36	13	53	110	0	63	218	60	44	21	28	175	0
                Saccharomonospora	699	273	1003	773	552	3689	484	2181	384	5922	412	1143	752	1023	6768	464	628	2158	386	1269	794	811	1076	241
                Saccharopolyspora	1174	538	1752	1092	1001	6231	760	3600	670	8357	733	2387	1346	1563	11090	850	1145	3706	748	2392	1396	1403	1986	471
                Saccharothrix	4129	458	6143	4432	2619	17361	1847	13677	531	24114	2103	2358	3432	3237	38144	1616	1789	10149	1791	6662	1401	3334	4321	538
                Salinibacter	12	0	16	0	13	36	11	92	11	34	20	31	20	0	56	10	11	89	23	13	12	41	25	0
                Salinibacterium	193	182	246	194	508	915	383	1173	418	1010	741	1177	511	288	2347	113	313	1663	327	328	703	1110	1298	204
                Salinicoccus	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Salinimonas	13	0	0	0	0	28	0	143	0	32	11	0	0	12	0	0	0	90	0	0	0	47	0	0
                Salinispora	81	53	109	62	94	377	66	271	93	638	106	223	155	87	725	77	85	568	56	153	169	211	170	39
                Salisediminibacterium	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
                Sandaracinus	160	99	152	58	84	483	135	3330	113	746	464	260	397	117	602	57	125	2646	753	186	166	615	572	91
                Sanguibacter	267	210	363	1791	214	908	122	848	123	1415	906	641	225	6279	5777	109	1246	812	223	575	384	749	815	110
                Schaalia	63	29	54	63	30	313	25	267	61	314	61	215	70	84	785	36	105	329	66	119	138	178	240	27
                Schleiferilactobacillus	0	0	0	0	0	0	0	16	0	0	0	0	0	0	23	0	0	0	0	0	0	37	0	0
                Sedimentisphaera	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Segniliparus	29	18	20	26	16	94	12	68	11	98	19	58	38	36	212	17	31	97	15	32	44	45	70	16
                Selenomonas	0	0	0	0	12	40	0	154	17	46	30	44	24	0	44	11	0	122	25	12	11	46	27	0
                Sellimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
                Serinicoccus	391	214	248	195	342	1271	244	1015	265	971	402	697	316	388	2773	216	490	941	255	479	644	726	691	222
                Simiaoa	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Singulisphaera	79	46	40	27	54	106	36	230	47	97	48	162	113	30	371	23	81	261	79	115	118	93	472	22
                Sinomonas	98	129	143	113	172	560	99	462	154	503	187	309	161	157	1440	101	196	453	97	239	311	325	447	76
                Sinorhizobium	1533	581	756	765	1429	3358	810	6074	631	7052	2575	1427	1208	1277	5884	898	863	6596	2101	1601	1175	5393	3150	789
                Skermania	66	49	67	42	63	287	54	167	53	241	58	170	69	86	447	43	58	157	36	107	85	99	180	24
                Slackia	0	0	0	0	0	28	0	23	0	14	0	11	0	0	16	0	0	30	0	0	0	14	0	0
                Solibaculum	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
                Solicola	239	140	126	116	160	804	143	425	150	471	144	370	165	204	1577	110	263	438	124	326	284	279	390	188
                Sorangium	2900	392	330	329	322	1348	395	6124	309	1870	2506	662	1728	359	1393	202	413	14274	1545	1651	390	6827	1270	292
                Spiractinospora	60	54	61	38	48	247	46	159	54	212	59	155	53	57	489	41	90	184	37	96	105	127	117	43
                Sporomusa	0	0	0	0	0	18	0	12	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
                Sporosarcina	0	0	0	0	0	0	0	68	0	0	0	0	0	0	64	0	0	35	0	0	0	0	165	0
                Stackebrandtia	149	68	118	116	203	1089	87	403	121	713	164	336	197	273	1822	272	515	393	98	536	264	322	325	75
                Staphylococcus	71	113	609	29	198	90	36	940	145	127	136	317	96	199	61	42	109	219	571	123	110	116	324	23
                Staphylospora	0	0	0	0	0	0	0	22	0	0	0	12	0	0	16	0	0	17	0	0	0	0	0	0
                Stieleria	13	0	0	0	0	53	0	196	0	62	58	37	58	0	68	0	0	179	73	24	11	69	66	0
